name,description
Electronics,"Devices and gadgets including phones, computers, and accessories"
Clothing,"Apparel and fashion items for men, women, and children"
Home & Garden,"Furniture, decor, and gardening supplies"
Books,"Educational and recreational reading materials"
Sports & Outdoors,"Equipment and gear for various sports and outdoor activities"
Beauty & Personal Care,"Cosmetics, skincare, and personal hygiene products"
Automotive,"Car parts, accessories, and automotive tools"
Toys & Games,"Children's toys, games, and entertainment items"
Health & Wellness,"Vitamins, supplements, and health-related products"
Pet Supplies,"Food, toys, and accessories for pets"
